Identifier (RIC),Company Name,"ESG Score
(FY0)
(Σ=Avg)","ESG Period Last Update Date
(FY0)","ESG Score
(FY-1)
(Σ=Avg)","YoY % Chg in
ESG Score
(FY0)
(Σ=Avg)",Ticker Symbol,TRBC Economic Sector Name,"Original Announcement Date Time
(FY0)","Market Cap
(Σ=Avg)","Beta
(Σ=Avg)"
APA.OQ,APA Corp (US),64.68 (B),31/03/2023,62.10 (B),4.2% (D-),APA,Energy,23/02/2023,"11,837,987,334.18",3.52
TDW.N,Tidewater Inc,64.23 (B),29/03/2023,54.46 (B-),17.9% (D-),TDW,Energy,28/02/2023,"2,190,007,034.28",1.35
DINO.N,HF Sinclair Corp,64.03 (B),31/03/2023,56.48 (B-),13.4% (D-),DINO,Energy,24/02/2023,"8,913,772,212.50",1.41
CEQP.N,Crestwood Equity Partners LP,63.52 (B),29/03/2023,54.72 (B-),16.1% (D-),CEQP,Energy,21/02/2023,"2,632,797,384.63",2.48
OVV.N,Ovintiv Inc,62.90 (B),31/03/2023,59.16 (B),6.3% (D-),OVV,Energy,27/02/2023,"9,501,233,748.20",2.79
OII.N,Oceaneering International Inc,62.71 (B),31/03/2023,58.71 (B),6.8% (D-),OII,Energy,23/02/2023,"1,721,520,191.52",2.83
BTU.N,Peabody Energy Corp,61.66 (B),29/03/2023,66.84 (B+),-7.7% (D),BTU,Energy,13/02/2023,"3,653,990,170.50",1.03
AROC.N,Archrock Inc,61.05 (B),31/03/2023,60.74 (B),0.5% (D-),AROC,Energy,21/02/2023,"1,558,223,464.56",1.73
TRGP.N,Targa Resources Corp,60.95 (B),29/03/2023,52.99 (B-),15.0% (D-),TRGP,Energy,22/02/2023,"16,954,852,287.84",2.26
VTLE.N,Vital Energy Inc,60.89 (B),29/03/2023,41.63 (C),46.3% (D-),VTLE,Energy,21/02/2023,"835,933,539.30",3.35
AR.N,Antero Resources Corp,59.94 (B),29/03/2023,46.77 (C+),28.2% (D-),AR,Energy,15/02/2023,"6,932,455,066.72",3.48
DVN.N,Devon Energy Corp,59.39 (B),29/03/2023,59.96 (B),-1.0% (D),DVN,Energy,14/02/2023,"34,603,140,000.00",2.37
UUUU.A,Energy Fuels Inc,59.21 (B),29/03/2023,44.20 (C+),34.0% (D-),UUUU,Energy,08/03/2023,"809,110,589.44",
MUR.N,Murphy Oil Corp,58.94 (B),29/03/2023,54.56 (B-),8.0% (D-),MUR,Energy,26/01/2023,"5,984,797,128.30",2.37
CLNE.OQ,Clean Energy Fuels Corp,57.37 (B-),09/03/2023,61.91 (B),-7.3% (D),CLNE,Energy,28/02/2023,"974,106,998.60",2.18
CHX.OQ,ChampionX Corp,57.10 (B-),29/03/2023,39.09 (C),46.1% (D-),CHX,Energy,01/02/2023,"5,418,206,829.77",2.56
CHK.OQ,Chesapeake Energy Corp,56.13 (B-),29/03/2023,61.73 (B),-9.1% (D),CHK,Energy,21/02/2023,"10,141,708,124.88",0.87
WTTR.N,Select Energy Services Inc,55.73 (B-),29/03/2023,40.06 (C),39.1% (D-),WTTR,Energy,21/02/2023,"927,525,219.85",1.96
PXD.N,Pioneer Natural Resources Co,54.89 (B-),29/03/2023,51.93 (B-),5.7% (D-),PXD,Energy,22/02/2023,"48,918,464,488.48",1.45
HLX.N,Helix Energy Solutions Group Inc,54.74 (B-),29/03/2023,28.06 (C-),95.1% (D-),HLX,Energy,20/02/2023,"1,148,323,852.96",2.79
TALO.N,Talos Energy Inc,54.74 (B-),29/03/2023,56.41 (B-),-3.0% (D),TALO,Energy,28/02/2023,"1,886,348,282.00",2.23
MMP.N,Magellan Midstream Partners LP,54.66 (B-),29/03/2023,51.05 (B-),7.1% (D-),MMP,Energy,02/02/2023,"11,126,270,878.06",0.91
EOG.N,EOG Resources Inc,54.65 (B-),29/03/2023,56.72 (B-),-3.7% (D),EOG,Energy,23/02/2023,"70,156,568,758.14",1.52
SM.N,SM Energy Co,54.05 (B-),29/03/2023,50.49 (B-),7.1% (D-),SM,Energy,22/02/2023,"3,611,616,243.12",4.4
GEVO.OQ,Gevo Inc,53.97 (B-),31/03/2023,44.72 (C+),20.7% (D-),GEVO,Energy,09/03/2023,"302,387,446.88",3.06
SPWR.OQ,SunPower Corp,53.89 (B-),31/03/2023,52.37 (B-),2.9% (D-),SPWR,Energy,15/02/2023,"2,217,748,103.60",1.93
ENPH.OQ,Enphase Energy Inc,53.64 (B-),29/03/2023,47.12 (C+),13.8% (D-),ENPH,Energy,07/02/2023,"26,159,652,230.00",1.54
TPIC.OQ,TPI Composites Inc,53.11 (B-),29/03/2023,57.01 (B-),-6.8% (D),TPIC,Energy,22/02/2023,"484,995,715.05",1.88
MPLX.N,MPLX LP,52.87 (B-),09/03/2023,47.34 (C+),11.7% (D-),MPLX,Energy,31/01/2023,"34,616,099,133.98",1.42
CRC.N,California Resources Corp,52.85 (B-),29/03/2023,53.30 (B-),-0.8% (D),CRC,Energy,24/02/2023,"2,806,043,630.78",0.78
AMRC.N,Ameresco Inc,52.67 (B-),29/03/2023,45.59 (C+),15.5% (D-),AMRC,Energy,27/02/2023,"2,314,299,527.10",1.28
KOS.N,Kosmos Energy Ltd,52.62 (B-),31/03/2023,51.37 (B-),2.4% (D-),KOS,Energy,27/02/2023,"3,497,441,347.74",2.81
RUN.OQ,Sunrun Inc,52.43 (B-),29/03/2023,62.75 (B),-16.4% (D),RUN,Energy,22/02/2023,"3,983,858,514.26",2.34
HP.N,Helmerich and Payne Inc,52.28 (B-),31/03/2023,43.34 (C+),20.6% (D-),HP,Energy,16/11/2022,"3,884,865,810.54",1.64
DEN.N,Denbury Inc,52.17 (B-),31/03/2023,47.42 (C+),10.0% (D-),DEN,Energy,23/02/2023,"4,622,629,021.50",1.2
PAGP.OQ,Plains GP Holdings LP,51.54 (B-),29/03/2023,43.76 (C+),17.8% (D-),PAGP,Energy,08/02/2023,"2,634,223,549.10",1.59
PTEN.OQ,Patterson-UTI Energy Inc,50.25 (B-),29/03/2023,48.93 (C+),2.7% (D-),PTEN,Energy,08/02/2023,"2,604,028,977.30",2.29
VTOL.N,Bristow Group Inc,49.92 (C+),09/03/2023,45.73 (C+),9.2% (D-),VTOL,Energy,,"633,640,623.72",1.38
BOOM.OQ,DMC Global Inc,49.60 (C+),31/03/2023,46.49 (C+),6.7% (D-),BOOM,Energy,23/02/2023,"395,908,404.32",1.65
DK.N,Delek US Holdings Inc,49.48 (C+),31/03/2023,44.49 (C+),11.2% (D-),DK,Energy,28/02/2023,"1,568,989,549.92",1.47
BRY.OQ,Berry Corporation (Bry),49.00 (C+),29/03/2023,41.30 (C),18.6% (D-),BRY,Energy,22/02/2023,"601,593,973.82",2.18
PAA.OQ,Plains All American Pipeline LP,48.70 (C+),29/03/2023,38.53 (C),26.4% (D-),PAA,Energy,08/02/2023,"8,967,327,677.04",1.65
OSG.N,Overseas Shipholding Group Inc,48.65 (C+),29/03/2023,41.18 (C),18.1% (D-),OSG,Energy,09/03/2023,"295,181,345.03",0.46
NOVA.N,Sunnova Energy International Inc,48.20 (C+),29/03/2023,52.60 (B-),-8.4% (D),NOVA,Energy,22/02/2023,"1,695,866,892.72",2.08
CQP.A,Cheniere Energy Partners LP,47.40 (C+),29/03/2023,32.22 (C-),47.1% (D-),CQP,Energy,23/02/2023,"22,517,220,881.96",0.84
CHRD.OQ,Chord Energy Corp,47.36 (C+),29/03/2023,48.23 (C+),-1.8% (D),CHRD,Energy,22/02/2023,"5,779,627,287.44",1.06
CNX.N,CNX Resources Corp,47.22 (C+),29/03/2023,36.29 (C),30.1% (D-),CNX,Energy,26/01/2023,"2,680,596,114.00",1.32
SOI.N,Solaris Oilfield Infrastructure Inc,46.97 (C+),31/03/2023,46.12 (C+),1.8% (D-),SOI,Energy,22/02/2023,"397,822,737.52",1.48
NEX.N,Nextier Oilfield Solutions Inc,46.51 (C+),29/03/2023,41.73 (C+),11.4% (D-),NEX,Energy,15/02/2023,"2,004,976,493.52",2.07
SMHI.N,SEACOR Marine Holdings Inc,46.33 (C+),09/03/2023,47.22 (C+),-1.9% (D),SMHI,Energy,06/03/2023,"211,762,573.10",1.5
NR.N,Newpark Resources Inc,46.11 (C+),29/03/2023,39.73 (C),16.0% (D-),NR,Energy,16/02/2023,"345,308,360.00",2.83
EQT.N,EQT Corp,45.14 (C+),29/03/2023,46.81 (C+),-3.6% (D),EQT,Energy,15/02/2023,"11,574,767,375.60",1.18
ENLC.N,EnLink Midstream LLC,45.00 (C+),31/03/2023,42.29 (C+),6.4% (D-),ENLC,Energy,14/02/2023,"4,960,508,109.22",2.48
EPD.N,Enterprise Products Partners LP,44.13 (C+),09/03/2023,43.32 (C+),1.9% (D-),EPD,Energy,01/02/2023,"57,265,871,433.86",1.05
PLUG.OQ,Plug Power Inc,44.06 (C+),29/03/2023,37.73 (C),16.8% (D-),PLUG,Energy,01/03/2023,"5,500,766,366.10",1.77
CIVI.N,Civitas Resources Inc,43.31 (C+),29/03/2023,28.12 (C-),54.0% (D-),CIVI,Energy,22/02/2023,"5,619,503,141.90",1.77
FET.N,Forum Energy Technologies Inc,42.94 (C+),31/03/2023,49.10 (C+),-12.5% (D),FET,Energy,20/02/2023,"244,469,985.66",2.83
NESR.OQ,National Energy Services Reunited Corp,42.37 (C+),29/03/2023,41.92 (C+),1.1% (D-),NESR,Energy,24/02/2021,"443,101,989.75",0.87
CTRA.N,Coterra Energy Inc,41.71 (C+),29/03/2023,29.77 (C-),40.1% (D-),CTRA,Energy,22/02/2023,"19,160,377,240.34",0.24
EPM.A,Evolution Petroleum Corp,40.45 (C),29/03/2023,24.64 (D+),64.2% (D-),EPM,Energy,13/09/2022,"221,522,661.00",0.99
WES.N,Western Midstream Partners LP,39.71 (C),31/03/2023,33.10 (C-),20.0% (D-),WES,Energy,22/02/2023,"10,357,452,035.19",2.69
PDCE.OQ,PDC Energy Inc,39.17 (C),29/03/2023,38.36 (C),2.1% (D-),PDCE,Energy,22/02/2023,"5,811,601,209.00",2.52
PR.N,Permian Resources Corp,39.14 (C),29/03/2023,30.05 (C-),30.2% (D-),PR,Energy,22/02/2023,"6,120,646,602.00",1.55
TUSK.OQ,Mammoth Energy Services Inc,38.80 (C),29/03/2023,25.64 (C-),51.3% (D-),TUSK,Energy,23/02/2023,"200,130,902.10",1.76
DTM.N,DT Midstream Inc,38.75 (C),31/03/2023,,,DTM,Energy,16/02/2023,"4,705,867,499.49",0.57
TPL.N,Texas Pacific Land Corp,38.61 (C),31/03/2023,37.46 (C),3.1% (D-),TPL,Energy,22/02/2023,"13,332,754,639.84",1.89
WTI.N,W&T Offshore Inc,38.55 (C),29/03/2023,29.05 (C-),32.7% (D-),WTI,Energy,07/03/2023,"741,092,164.12",2
CLMT.OQ,Calumet Specialty Products Partners LP,37.90 (C),31/03/2023,26.26 (C-),44.3% (D-),CLMT,Energy,15/03/2023,"1,316,492,358.49",2.01
REX.N,REX American Resources Corp,37.76 (C),29/03/2023,37.89 (C),-0.3% (D),REX,Energy,23/03/2023,"493,354,839.03",0.93
DEC.L,Diversified Energy Company PLC,37.60 (C),09/03/2023,31.92 (C-),17.8% (D-),DEC,Energy,22/03/2023,"1,126,218,214.84",0.23
TTI.N,Tetra Technologies Inc,37.24 (C),29/03/2023,44.08 (C+),-15.5% (D),TTI,Energy,27/02/2023,"357,681,194.00",2.55
GPOR.N,Gulfport Energy Corp,37.16 (C),31/03/2023,36.32 (C),2.3% (D-),GPOR,Energy,28/02/2023,"1,428,854,826.21",0.38
FF.N,FutureFuel Corp,36.94 (C),29/03/2023,38.18 (C),-3.2% (D),FF,Energy,14/03/2023,"333,913,544.09",0.89
ICD.N,Independence Contract Drilling Inc,36.90 (C),29/03/2023,27.74 (C-),33.0% (D-),ICD,Energy,02/03/2023,"44,470,403.28",5
NE.N,Noble Corporation PLC,35.49 (C),31/03/2023,38.34 (C),-7.4% (D),NE,Energy,27/02/2023,"5,100,268,669.86",1.01
ALTO.OQ,Alto Ingredients Inc,35.23 (C),09/03/2023,35.88 (C),-1.8% (D),ALTO,Energy,09/03/2023,"102,947,995.14",2.39
ET.N,Energy Transfer LP,35.10 (C),29/03/2023,26.05 (C-),34.8% (D-),ET,Energy,15/02/2023,"38,713,367,937.60",1.71
CPE.N,Callon Petroleum Co,34.89 (C),31/03/2023,30.94 (C-),12.7% (D-),CPE,Energy,22/02/2023,"2,180,298,514.60",2.74
LBRT.N,Liberty Energy Inc,34.39 (C),29/03/2023,23.27 (D+),47.8% (D-),LBRT,Energy,25/01/2023,"2,333,448,943.70",2.11
UEC.A,Uranium Energy Corp,34.15 (C),31/03/2023,33.61 (C),1.6% (D-),UEC,Energy,29/09/2022,"1,009,803,135.00",2
GEOS.OQ,Geospace Technologies Corp,34.15 (C),29/03/2023,25.76 (C-),32.6% (D-),GEOS,Energy,18/11/2022,"108,855,898.81",1.39
NS.N,NuStar Energy LP,34.04 (C),31/03/2023,28.33 (C-),20.2% (D-),NS,Energy,01/02/2023,"1,746,736,110.00",1.83
MG.N,Mistras Group Inc,34.02 (C),29/03/2023,21.54 (D+),57.9% (D-),MG,Energy,08/03/2023,"222,057,442.18",1.52
FCEL.OQ,Fuelcell Energy Inc,32.74 (C-),29/03/2023,21.72 (D+),50.7% (D-),FCEL,Energy,20/12/2022,"969,699,606.67",3.69
EGY.N,VAALCO Energy Inc,32.57 (C-),29/03/2023,21.93 (D+),48.5% (D-),EGY,Energy,31/03/2023,"476,492,870.16",1.59
PBF.N,PBF Energy Inc,32.18 (C-),31/03/2023,34.02 (C),-5.4% (D),PBF,Energy,16/02/2023,"5,221,452,067.67",1.97
REI.A,Ring Energy Inc,31.70 (C-),29/03/2023,24.39 (D+),30.0% (D-),REI,Energy,09/03/2023,"372,092,617.04",1.96
GIFI.OQ,Gulf Island Fabrication Inc,31.69 (C-),31/03/2023,29.89 (C-),6.0% (D-),GIFI,Energy,28/03/2023,"55,424,689.51",0.61
MTDR.N,Matador Resources Co,31.60 (C-),31/03/2023,33.20 (C-),-4.8% (D),MTDR,Energy,21/02/2023,"6,009,562,578.25",3.54
MGY.N,Magnolia Oil & Gas Corp,31.36 (C-),29/03/2023,17.03 (D+),84.2% (D-),MGY,Energy,14/02/2023,"4,775,218,024.50",2.15
BWEN.OQ,Broadwind Inc,31.02 (C-),31/03/2023,36.28 (C),-14.5% (D),BWEN,Energy,09/03/2023,"69,858,196.55",1.52
MUSA.N,Murphy Usa Inc,30.97 (C-),29/03/2023,29.17 (C-),6.2% (D-),MUSA,Energy,01/02/2023,"5,530,720,179.37",0.8
NOG.N,Northern Oil and Gas Inc,30.74 (C-),29/03/2023,22.22 (D+),38.4% (D-),NOG,Energy,23/02/2023,"2,777,353,888.89",2.02
LPG.N,Dorian LPG Ltd,30.61 (C-),29/03/2023,17.22 (D+),77.8% (D-),LPG,Energy,26/05/2022,"792,888,012.75",1.13
LEU.A,Centrus Energy Corp,30.40 (C-),29/03/2023,25.46 (C-),19.4% (D-),LEU,Energy,21/02/2023,"437,847,883.86",2.05
PARR.N,Par Pacific Holdings Inc,30.30 (C-),29/03/2023,20.91 (D+),44.9% (D-),PARR,Energy,22/02/2023,"1,692,758,595.00",2.06
INT.N,World Fuel Services Corp,29.66 (C-),29/03/2023,32.25 (C-),-8.0% (D),INT,Energy,23/02/2023,"1,586,421,150.74",1.27
NEXT.OQ,NextDecade Corp,29.64 (C-),29/03/2023,14.77 (D),100.7% (D-),NEXT,Energy,10/03/2023,"716,732,163.84",0.97
HEP.N,Holly Energy Partners LP,29.52 (C-),31/03/2023,,,HEP,Energy,24/02/2023,"2,155,805,427.05",0.88
INSW.N,International Seaways Inc,29.43 (C-),29/03/2023,26.14 (C-),12.6% (D-),INSW,Energy,28/02/2023,"1,864,155,308.40",0.04
NINE.N,Nine Energy Service Inc,28.76 (C-),31/03/2023,23.66 (D+),21.6% (D-),NINE,Energy,07/03/2023,"189,925,325.02",3.34
PHX.N,PHX Minerals Inc,28.45 (C-),29/03/2023,21.49 (D+),32.4% (D-),PHX,Energy,,"94,912,948.00",0.64
RES.N,RPC Inc,28.17 (C-),29/03/2023,18.83 (D+),49.6% (D-),RES,Energy,25/01/2023,"1,689,976,375.29",1.78
PUMP.N,ProPetro Holding Corp,27.40 (C-),29/03/2023,11.39 (D),140.5% (D-),PUMP,Energy,21/02/2023,"887,964,901.95",2.35
AE.A,Adams Resources & Energy Inc,27.00 (C-),29/03/2023,24.04 (D+),12.3% (D-),AE,Energy,15/03/2023,"98,852,169.00",0.86
DRQ.N,Dril-Quip Inc,26.94 (C-),29/03/2023,27.97 (C-),-3.7% (D),DRQ,Energy,27/02/2023,"959,203,997.92",1.07
WHD.N,Cactus Inc,26.68 (C-),29/03/2023,29.13 (C-),-8.4% (D),WHD,Energy,22/02/2023,"3,289,055,588.82",1.94
URE.TO,Ur-Energy Inc,26.47 (C-),29/03/2023,27.46 (C-),-3.6% (D),URE,Energy,06/03/2023,"238,014,142.40",1.49
ROCC.OQ,Ranger Oil Corp,26.45 (C-),16/03/2023,20.53 (D+),28.8% (D-),ROCC,Energy,08/03/2023,"1,732,540,914.72",2.68
NGS.N,Natural Gas Services Group Inc,25.03 (C-),29/03/2023,21.38 (D+),17.1% (D-),NGS,Energy,31/03/2023,"132,691,565.24",1.32
SBOW.N,SilverBow Resources Inc,24.83 (D+),24/03/2023,12.40 (D),100.2% (D-),SBOW,Energy,01/03/2023,"527,983,140.48",2.35
AMPY.N,Amplify Energy Corp,23.77 (D+),31/03/2023,25.50 (C-),-6.8% (D),AMPY,Energy,09/03/2023,"265,942,481.52",2.41
TELL.A,Tellurian Inc,23.71 (D+),29/03/2023,21.21 (D+),11.8% (D-),TELL,Energy,22/02/2023,"800,196,152.14",2.25
CRK.N,Comstock Resources Inc,23.54 (D+),29/03/2023,17.25 (D+),36.5% (D-),CRK,Energy,14/02/2023,"2,886,105,716.00",1.2
CCLP.OQ,CSI Compressco LP,22.89 (D+),29/03/2023,,,CCLP,Energy,10/03/2023,"171,320,228.86",0.99
STEM.N,Stem Inc,21.65 (D+),29/03/2023,14.33 (D),51.1% (D-),STEM,Energy,,"760,507,725.72",2.51
NGL.N,NGL Energy Partners LP,20.86 (D+),29/03/2023,,,NGL,Energy,06/06/2022,"405,784,182.78",1.58
RNGR.N,Ranger Energy Services Inc,20.78 (D+),29/03/2023,15.94 (D),30.4% (D-),RNGR,Energy,07/03/2023,"279,961,293.60",1.26
AMTX.OQ,Aemetis Inc,20.66 (D+),29/03/2023,24.75 (D+),-16.5% (D),AMTX,Energy,09/03/2023,"74,403,807.66",1.24
REPX.A,Riley Exploration Permian Inc,20.08 (D+),29/03/2023,,,REPX,Energy,08/03/2023,"873,486,610.22",1.35
DO.N,Diamond Offshore Drilling Inc,19.92 (D+),29/03/2023,21.62 (D+),-7.9% (D),DO,Energy,28/02/2023,"1,154,125,061.70",1.23
NCSM.OQ,NCS Multistage Holdings Inc,19.80 (D+),29/03/2023,19.48 (D+),1.7% (D-),NCSM,Energy,06/03/2023,"53,630,661.34",1.52
EXCE.PK,EXCO Resources Inc,19.65 (D+),17/08/2022,21.60 (D+),-9.0% (D),EXCE,Energy,18/03/2019,"138,140,889.60",1.45
SD.N,SandRidge Energy Inc,19.38 (D+),29/03/2023,15.95 (D),21.5% (D-),SD,Energy,15/03/2023,"565,391,509.41",2.35
HPK.OQ,Highpeak Energy Inc,19.32 (D+),31/03/2023,20.28 (D+),-4.7% (D),HPK,Energy,06/03/2023,"2,667,299,686.39",0.76
NC.N,NACCO Industries Inc,19.24 (D+),09/03/2023,18.09 (D+),6.4% (D-),NC,Energy,15/03/2023,"264,447,720.75",0.79
KNTK.N,Kinetik Holdings Inc,18.86 (D+),31/03/2023,16.78 (D+),12.4% (D-),KNTK,Energy,27/02/2023,"4,464,400,150.21",0.94
AXAS.PK,Abraxas Petroleum Corp,18.74 (D+),29/03/2023,17.79 (D+),5.3% (D-),AXAS,Energy,31/03/2022,"72,494,959.46",3.09
UNTC.PK,Unit Corp,18.47 (D+),31/03/2023,13.84 (D),33.4% (D-),UNTC,Energy,17/03/2023,"404,668,152.00",0.44
ESTE.N,Earthstone Energy Inc,18.25 (D+),29/03/2023,16.97 (D+),7.6% (D-),ESTE,Energy,16/02/2023,"1,945,137,932.20",2.07
BEEM.OQ,Beam Global,18.03 (D+),29/03/2023,,,BEEM,Energy,29/03/2023,"124,487,660.20",1.67
BATL.A,Battalion Oil Corp,17.84 (D+),29/03/2023,13.03 (D),36.9% (D-),BATL,Energy,30/03/2023,"141,473,500.20",0.32
SPH.N,Suburban Propane Partners LP,17.80 (D+),31/03/2023,,,SPH,Energy,10/11/2022,"975,197,061.12",0.65
PFIE.OQ,Profire Energy Inc,17.58 (D+),24/03/2023,11.12 (D),58.1% (D-),PFIE,Energy,08/03/2023,"57,752,328.28",0.98
KLXE.OQ,KLX Energy Services Holdings Inc,17.39 (D+),31/03/2023,10.80 (D),61.0% (D-),KLXE,Energy,08/03/2023,"197,057,293.68",2.05
USAC.N,USA Compression Partners LP,16.49 (D),24/03/2023,15.19 (D),8.6% (D-),USAC,Energy,14/02/2023,"2,066,358,148.17",1.43
CVI.N,CVR Energy Inc,16.33 (D),31/03/2023,14.64 (D),11.5% (D-),CVI,Energy,21/02/2023,"3,089,305,307.27",1.53
ARKO.OQ,Arko Corp.,15.86 (D),31/03/2023,15.08 (D),5.2% (D-),ARKO,Energy,27/02/2023,"1,023,035,097.84",0.28
HNRG.OQ,Hallador Energy Co,14.98 (D),09/03/2023,12.41 (D),20.7% (D-),HNRG,Energy,16/03/2023,"297,173,271.05",0.78
VTNR.OQ,Vertex Energy Inc,14.93 (D),31/03/2023,7.24 (D-),106.4% (D-),VTNR,Energy,28/02/2023,"632,591,385.36",2.08
ZNOG.PK,Zion Oil and Gas Inc,14.86 (D),29/03/2023,12.94 (D),14.8% (D-),ZNOG,Energy,27/03/2023,"48,295,633.93",1.18
NRP.N,Natural Resource Partners LP,14.60 (D),29/03/2023,,,NRP,Energy,02/03/2023,"662,942,847.96",0.27
TA.OQ,Travelcenters of America Inc,14.23 (D),31/03/2023,13.80 (D),3.1% (D-),TA,Energy,28/02/2023,"1,306,927,935.75",1.46
ADN.OQ,Advent Technologies Holdings Inc,13.51 (D),09/03/2023,11.74 (D),15.1% (D-),ADN,Energy,31/03/2023,"56,442,574.44",-0.1
KEGX.PK,Key Energy Services Inc,13.29 (D),31/03/2023,,,KEGX,Energy,13/03/2020,"10,336,010.25",0.16
GLP.N,Global Partners LP,12.88 (D),29/03/2023,15.09 (D),-14.7% (D),GLP,Energy,27/02/2023,"1,026,666,002.60",1.27
ARLP.OQ,Alliance Resource Partners LP,12.74 (D),29/03/2023,6.84 (D-),86.3% (D-),ARLP,Energy,30/01/2023,"2,570,684,716.50",1.39
PNRG.OQ,Primeenergy Resources Corp,12.57 (D),29/03/2023,9.42 (D),33.5% (D-),PNRG,Energy,21/04/2022,"167,429,190.00",0.69
